merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Retrait DAB,no,10000,Cash,,,,
La Vie Claire,no,175,PersonalCare,,,,
Meyclub,no,164,Bills,,,,
Total Spring,no,162,Bills,Housing,Utilities,,
ekWateur,no,156,Bills,Housing,Utilities,,
GreenYellow,no,148,Bills,Housing,Utilities,,
Mr Bricolage,no,146,Shopping,,,,
CNP Assurances,no,119,Bills,,Insurance,,
Maaf Assurances,no,110,Bills,,Insurance,,
BPCE Assurances,no,108,Bills,,Insurance,,
Action Logement Services,no,102,Housing,,,,
Bricomarche,no,89,Shopping,,,,
France Billetvad,no,89,Bills,Leisure,,,
Unibet,no,86,Expenses,,Gambling,,
Class Croute,no,86,Lunch,,,,
Le Comptoir du Relais,no,78,EatingOut,,,,
Alptis Assurances,no,67,Bills,,Insurance,,
MONEYGRAM,no,57,Expenses,,,,
Mercadona,no,57,Groceries,,,,
Jardiland,no,51,Shopping,,,,
Cache Cache,no,40,Shopping,,,,
8 à Huit,no,40,Groceries,,,,
Pizza del Arte,no,38,EatingOut,,,,
Sergent Major,no,30,Shopping,,,,
Cafe Coton,no,27,Coffee,,,,
Armand Thiery,no,27,Shopping,,,,
MIDAS,no,24,Transport,,,,
3 Suisses,no,22,Shopping,,,,
Elephant Bleu,no,22,Transport,,,,
San Marina,no,22,Shopping,,,,
Bureau Vallee,no,22,Shopping,,,,
Butagaz,no,19,Bills,Housing,Utilities,,
Gamm Vert,no,19,Shopping,,,,
Aroma-zone.com,no,19,Shopping,,,,
La Civette,no,19,Shopping,,,,
Electro Depot,no,19,Shopping,,,,
Body Minute,no,16,PersonalCare,,,,
Jacques Dessange,no,16,PersonalCare,,,,
Centra,no,16,,,,,
La Foir'Fouille,no,16,Shopping,,,,
Halle Chaussures,no,11,Shopping,,,,
France Loisirs,no,11,Shopping,,,,
Best Western,no,8,Travel,,,,
Esthetic Center,no,8,Travel,,,,
Thiriet,no,8,Groceries,,,,
Point Vert,no,8,Shopping,,,,
Husse,no,8,Expenses,,Pets,,
5àSec,no,8,Expenses,,,,
Etap Hotel,no,8,Travel,,,,
Bo Concept,no,8,Shopping,,,,
Mint Energie,no,8,Bills,Housing,Utilities,,
Shopi,no,8,Groceries,,,,
Nature Decouvert,no,8,Travel,,,,
Boon,no,5,Bills,,,,
OBI,no,5,Bills,Leisure,,,
Cuisinella,no,5,Housing,,,,
GEG,no,5,Shopping,,,,
Monceau Fleurs,no,5,Shopping,,,,
Bleu Libellule,no,5,Shopping,PersonalCare,Beauty,,
