merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
United Colors of Benetton,no,10000,Shopping,,,,
Unipol Banca,no,8119,Bills,,Internal,,
Banco di Napoli,no,8020,Bills,,Internal,,
Travelodge,no,7624,Travel,,,,
Fitness Park,no,5842,PersonalCare,,Gym,,
Maisons Du Monde,no,5347,Shopping,,,,
Lyoness,no,5149,Shopping,,,,
Camaieu,no,4950,Shopping,,,,
Banca Carige,no,4455,Bills,,Internal,,
La Banque Postale,no,4455,Bills,,Internal,,
Samsung Pay,no,3861,Shopping,,,,
Etam,no,3366,Shopping,,,,
Boost Juice,no,2970,Drinks,,,,
Toys R Us,no,2772,Shopping,,,,
Credit Mutuel,no,2277,Bills,,Internal,,
Petit Bateau,no,2079,Shopping,,,,
Delice de France,no,1782,Lunch,,,,
Transavia,no,1782,Travel,,,,
Queen of Hoxton,no,1683,Drinks,,,,
Zurich Insurance,no,1683,Bills,,Insurance,,
Hertz,no,1584,Transport,,,,
EatsReady,no,1584,EatingOut,,,,
Lebara,no,1485,Bills,,,,
Tommy Hilfiger,no,1485,Shopping,,,,
Burger & Lobster,no,1485,EatingOut,,,,
Princi,no,1386,EatingOut,,,,
Salmoiraghi&Vigano,no,1386,Shopping,,,,
Shopify,no,1287,Bills,,,,
KLM,no,1287,Travel,,,,
Finanza & Futuro Banca,no,1287,Bills,,Internal,,
Walgreens,no,1188,Shopping,,,,
SuperValu,no,1089,Groceries,,,,
Doubletree,no,891,Travel,,,,
Toni & Guy,no,891,PersonalCare,,,,
L'Oreal,no,891,Shopping,,Beauty,,
Societe Generale,no,891,Bills,,Internal,,
Vueling Airlines,no,891,Travel,,,,
Nafnaf,no,891,Shopping,,,,
Greenpeace,no,693,Charity,,,,
Dubai Duty Free,no,693,Shopping,,,,
Marionnaud,no,693,Shopping,,,,
Jules,no,594,Shopping,,,,
Lastminute.com,no,594,Travel,,,,
Granger & Co,no,594,EatingOut,,,,
Amazon web service,no,495,Bills,,,,
Sport 2000,no,495,Shopping,,,,
Steampowered,no,396,Leisure,,Gaming,,
Sakura,no,297,EatingOut,,,,
Spartoo,no,297,Shopping,,,,
Jennyfer,no,198,Shopping,,,,
Kookai,no,99,Shopping,,,,
Vero Moda,no,99,Shopping,,,,
'& Other Stories',no,,Shopping,,,,
AberCrombie & Fitch,yes,,Shopping,,,,
Accessorize,yes,,Shopping,,,,
Adidas,yes,,Shopping,,,,
Adobe,yes,,Bills,,,,
Air France,yes,,Travel,,,,
Airbnb,yes,,Travel,,,,
Aldi,yes,,Groceries,,,,
Aldo,yes,,Shopping,,,,
AliExpress,yes,,Shopping,,,,
Alitalia,yes,,Travel,,,,
Allianz,no,,Bills,,Insurance,,
Altra Banca,no,,Bills,,Internal,,
