merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Bollettino Postale,no,10000,Bills,,,,
Prix,no,2832,Shopping,,,,
Fiorfood,no,1452,EatingOut,,,,
Finitalia,no,1348,Bills,,,,
Elite,no,1348,PersonalCare,,Gym,,
Naturasi,no,1275,Groceries,,,,
Tiscali,no,1212,Bills,Housing,Utilities,,
In's Mercato,no,1181,Groceries,,,,
Todis,no,1076,Groceries,,,,
Supermercato Maxi,no,1034,Groceries,,,,
BikeMi,no,1024,Transport,,,,
Dok,no,972,Groceries,,,,
Punto SMA,no,940,Groceries,,,,
Maxi Zoo,no,836,Other,,Pets,,
Acea Energia,no,773,Bills,Housing,Utilities,,
Iren Mercato,no,731,Bills,Housing,Utilities,,
Vivo,no,731,,,,,
Infostrada,no,721,Bills,Housing,Utilities,,
Ristò,no,711,EatingOut,,,,
Emporio,no,648,Shopping,,,,
Estra,no,648,Bills,Housing,Utilities,,
Borello,no,627,Groceries,,,,
CoopVoce,no,617,Bills,,,,
Agora,no,585,Leisure,,,,
Poli,no,564,Groceries,,,,
Supermercato MD,no,543,Groceries,,,,
Agsm Energia,no,533,Bills,Housing,Utilities,,
Società Cooperativa,no,522,Groceries,,,,
Mercato Centrale,no,502,Shopping,,,,
Bomaki,no,470,EatingOut,,,,
Stroili Oro,no,397,Shopping,,,,
Aurora SRL,no,376,Transport,,,,
Lando,no,366,Shopping,,,,
Supermercato Punto,no,355,Groceries,,,,
Famiglia Cooperativa,no,345,Groceries,,,,
Basso,no,324,Shopping,,,,
Jean Louis David,no,324,PersonalCare,,,,
Quick Parking,no,303,Transport,,,,
Super Day,no,303,Groceries,,,,
Visotto,no,303,Groceries,,,,
Dpiu,no,303,Groceries,,,,
Iren,no,303,Bills,Housing,Utilities,,
AW Lab,no,293,Shopping,,,,
Vivá,no,293,Housing,,,,
Mariotti,no,282,,,,,
Deco,no,282,Shopping,,,,
Molinari,no,282,Shopping,,,,
Paghi,no,282,Groceries,,,,
ActiveCampaign,no,272,,,,,
Brasserie,no,261,EatingOut,,,,
Essegi,no,261,Other,,,,
Co.Import,no,251,Shopping,,,,
Del Mare 1911,no,230,Shopping,,,,
AIM,no,230,Other,,,,
Salvatore Ferragamo,no,209,Shopping,,,,
AFM S.p.A,no,199,PersonalCare,,,,
Careem Networks FZ LLC,no,178,Transport,,,,
Aurea,no,178,,,,,
Spice Lounge,no,167,EatingOut,,,,
Nardi,no,167,Shopping,,,,
Best Buy,no,167,Shopping,,,,
Plick,no,157,Bills,,,,
Max & Co,no,157,Shopping,,,,
Ansaldo STS,no,136,Transport,,,,
CNH Industrial,no,136,Expenses,,,,
Gianni Versace,no,136,Shopping,,,,
A&O,no,136,Groceries,,,,
Ibis Styles,no,125,Travel,,,,
Air One,no,125,Travel,,,,
A2A,no,,Bills,Housing,Utilities,,
Abarth,no,,Transport,,,,
Acqua di Parma,no,,Shopping,,,,
Active.com,no,,PersonalCare,,,,
Agip,no,,Transport,,,,
Agoda.com,no,,Travel,,,,
Agos Ducato,no,,Bills,,,,
Ahold,no,,Shopping,,,,
Air Italy,no,,Travel,,,,
AirAsia,no,,Travel,,,,
Airport Direct,no,,Transport,,,,
Alberta Ferretti,no,,Shopping,,,,
Alberto Dell'Orto,yes,,Shopping,,,,
Alcott,no,,Shopping,,,,
Aldo Coppola,yes,,PersonalCare,,,,
Alessi,no,,Shopping,,,,
Alexoo,no,,Shopping,,,,
Alfa Romeo,no,,Transport,,,,
Alleanza Assicurazioni,yes,,Bills,,Insurance,,
Allegri,no,,Shopping,,,,
Allresto,no,,EatingOut,,,,
Alpitour,yes,,Travel,,,,
America Graffiti,no,,EatingOut,,,,
Ansaldi,no,,,,,,
Antica Murrina,no,,Shopping,,,,
Antony Morato,no,,Shopping,,,,
Ariston,yes,,Bills,Housing,Utilities,,
Armani,no,,Shopping,,,,
Armani Jeans,yes,,Shopping,,,,
Arrow,no,,Transport,,,,
Artemide,yes,,Shopping,,,,
Aspesi,no,,Shopping,,,,
Aspiag,no,,Groceries,,,,
Astra,no,,,,,,
At.p.co,yes,,Shopping,,,,
Atlantic,yes,,,,,,
ATM,no,,Cash,,,,
Autostrade per l'Italia,no,,Transport,,,,
AVG Technologies,no,,Expenses,,,,
Avio Aero,no,,Bills,,,,
B & M,no,,Shopping,,,,
Baccanale,no,,EatingOut,,,,
Bagatt,no,,Shopping,,,,
Bagutta,no,,Shopping,,,,
Bakery House,no,,Groceries,,,,
Baldinini,no,,Shopping,,,,
Bally,no,,Shopping,,,,
Balocco,no,,Groceries,,,,
Barilla,no,,Groceries,,,,
Basko,yes,,Groceries,,,,
Bassetti,no,,Shopping,,,,
Bata,no,,Shopping,,,,
Bauli,no,,Groceries,,,,
Beauty&co,no,,Shopping,,Beauty,,
Befed,no,,EatingOut,,,,
Benetti,yes,,Leisure,,,,
Bennet,yes,,Groceries,,,,
Beretta,no,,Other,,,,
Beta Utensili,yes,,Shopping,,,,
Bialetti,yes,,Shopping,,,,
Bianchi,yes,,Transport,,,,
Bijou Brigitte,no,,Shopping,,,,
Blue Panorama,no,,Travel,,,,
Bluesprit,no,,Shopping,,,,
Blumarine,no,,Shopping,,,,
Bluvacanze,yes,,Travel,,,,
Boggi,no,,Shopping,,,,
Bomboogie,no,,Shopping,,,,
Bontempi,no,,Shopping,,Music,,
Borbonese,no,,Shopping,,,,
Bormioli Rocco,no,,Shopping,,,,
Borrani,no,,Transport,,,,
Boschini,no,,Shopping,,,,
Bottecchia,no,,Shopping,,,,
Bottega Veneta,yes,,Shopping,,,,
Bottega Verde,no,,Shopping,,,,
Boxeur des rues,yes,,Shopping,,,,
BPER,no,,Bills,,,,
Braccialini,no,,Shopping,,,,
Bracco,no,,Bills,,Insurance,,
Breil,no,,Shopping,,,,
Brembo,no,,Transport,,,,
Breton,no,,Other,,,,
